1,Togo Cuisine,1,9813 Gulgowski Mount,Abbyview,TN,67107,Local Resteraunt,4/28/2022 3:14:59 PM,4/28/2022 3:14:59 PM
2,Nico's Coffee Shop,2,2790 Kutch Junctions,North Clare,ND,67652,Local Coffee Shop,4/28/2022 3:14:59 PM,4/28/2022 3:14:59 PM
3,Tanzania, United Republic of Cuisine,1,48225 Christian Valleys,Demarcoview,FL,32648,Local Resteraunt,4/28/2022 3:14:59 PM,4/28/2022 3:14:59 PM
4,Baumbachmouth college,4,1125 Daphnee Station,Baumbachmouth,TX,64151,A college in Baumbachmouth,4/28/2022 3:14:59 PM,4/28/2022 3:14:59 PM
5,FrisbyGolf,6,23127 Kirlin Roads,Alanashire,IA,12807,Local Frisby Golf,4/28/2022 3:14:59 PM,4/28/2022 3:14:59 PM
6,Nitzsche Park,5,88060 Bergnaum ,Agustinashire,OR,71460,City maintained park,4/28/2022 3:14:59 PM,4/28/2022 3:14:59 PM
7,Target,6,06229 Laurence Fort,South Trey,MD,37018,Target is a retailer that sells a variety of goods,4/28/2022 3:14:59 PM,4/28/2022 3:14:59 PM
8,Nienow Park,5,21796 Raegan Valleys,East Deliaville,LA,73537,City maintained park,4/28/2022 3:14:59 PM,4/28/2022 3:14:59 PM
9,Llewellyn's Coffee Shop,2,4044 Veda Divide,Port Isai,KS,52913,Local Coffee Shop,4/28/2022 3:14:59 PM,4/28/2022 3:14:59 PM
10,Streich Park,5,209 Hermann Stream,Reginaldport,CO,18631,City maintained park,4/28/2022 3:14:59 PM,4/28/2022 3:14:59 PM
11,Lind Park,5,572 Callie Drives,Weimannland,NH,87559,City maintained park,4/28/2022 3:14:59 PM,4/28/2022 3:14:59 PM
12,FairGrounds,6,273 Feeney Course,Michalefurt,NY,39428,Local Fair Grounds,4/28/2022 3:14:59 PM,4/28/2022 3:14:59 PM
13,Kiehn Park,5,637 Charlotte Canyon,Myrtlestad,AL,27353,City maintained park,4/28/2022 3:14:59 PM,4/28/2022 3:14:59 PM
14,Zimbabwe Cuisine,1,6990 Icie Tunnel,Lake Lisachester,MD,67936,Local Resteraunt,4/28/2022 3:14:59 PM,4/28/2022 3:14:59 PM
